lake,spatial_block,0,1
Atitlan,Atitlan_1000m_693_1630,10007,0
Atitlan,Atitlan_1000m_694_1619,6,0
Atitlan,Atitlan_1000m_694_1622,2989,2
Atitlan,Atitlan_1000m_694_1623,23394,0
Atitlan,Atitlan_1000m_694_1624,21951,1
Atitlan,Atitlan_1000m_694_1625,21085,0
Atitlan,Atitlan_1000m_694_1626,21100,0
Atitlan,Atitlan_1000m_694_1627,20653,1
Atitlan,Atitlan_1000m_694_1628,21446,2
Atitlan,Atitlan_1000m_694_1629,23550,0
Atitlan,Atitlan_1000m_694_1630,10807,0
Atitlan,Atitlan_1000m_695_1622,829,0
Atitlan,Atitlan_1000m_695_1623,22743,2
Atitlan,Atitlan_1000m_695_1624,22044,0
Atitlan,Atitlan_1000m_695_1625,20862,0
Atitlan,Atitlan_1000m_695_1626,20200,0
Atitlan,Atitlan_1000m_695_1627,19869,0
Atitlan,Atitlan_1000m_695_1628,21231,0
Atitlan,Atitlan_1000m_695_1629,23181,0
Atitlan,Atitlan_1000m_695_1630,11610,2
Atitlan,Atitlan_1000m_696_1622,457,1
Atitlan,Atitlan_1000m_696_1623,21624,11
Atitlan,Atitlan_1000m_696_1624,21330,0
Atitlan,Atitlan_1000m_696_1625,20967,0
Atitlan,Atitlan_1000m_696_1626,19550,0
Atitlan,Atitlan_1000m_696_1627,18863,0
Atitlan,Atitlan_1000m_696_1628,19924,1
Atitlan,Atitlan_1000m_696_1629,22399,0
Atitlan,Atitlan_1000m_696_1630,16257,1
Atitlan,Atitlan_1000m_696_1631,614,0
Atitlan,Atitlan_1000m_697_1622,6124,2
Atitlan,Atitlan_1000m_697_1623,20147,3
Atitlan,Atitlan_1000m_697_1624,21284,0
Atitlan,Atitlan_1000m_697_1625,21175,0
Atitlan,Atitlan_1000m_697_1626,19934,0
Atitlan,Atitlan_1000m_697_1627,19622,0
Atitlan,Atitlan_1000m_697_1628,20426,0
Atitlan,Atitlan_1000m_697_1629,22679,2
Atitlan,Atitlan_1000m_697_1630,18567,1
Atitlan,Atitlan_1000m_697_1631,2914,1
Atitlan,Atitlan_1000m_698_1621,2372,1
Atitlan,Atitlan_1000m_698_1622,20604,8
Atitlan,Atitlan_1000m_698_1623,23244,0
Atitlan,Atitlan_1000m_698_1624,21466,0
Atitlan,Atitlan_1000m_698_1625,21659,0
Atitlan,Atitlan_1000m_698_1626,20871,0
Atitlan,Atitlan_1000m_698_1627,20489,0
Atitlan,Atitlan_1000m_698_1628,21907,0
Atitlan,Atitlan_1000m_698_1629,16258,4
Atitlan,Atitlan_1000m_698_1630,3,0
Atitlan,Atitlan_1000m_699_1619,259,3
Atitlan,Atitlan_1000m_699_1620,1213,1
Atitlan,Atitlan_1000m_699_1621,22609,13
Atitlan,Atitlan_1000m_699_1622,23045,0
Atitlan,Atitlan_1000m_699_1623,23332,0
Atitlan,Atitlan_1000m_699_1624,22518,0
Atitlan,Atitlan_1000m_699_1625,22398,0
Atitlan,Atitlan_1000m_699_1626,22179,0
Atitlan,Atitlan_1000m_699_1627,21742,0
Atitlan,Atitlan_1000m_699_1628,23855,0
Atitlan,Atitlan_1000m_699_1629,11364,2
Atitlan,Atitlan_1000m_699_1630,2,0
Atitlan,Atitlan_1000m_699_1631,14,0
Atitlan,Atitlan_1000m_700_1618,779,170
Atitlan,Atitlan_1000m_700_1619,14991,104
Atitlan,Atitlan_1000m_700_1620,22687,1
Atitlan,Atitlan_1000m_700_1621,24027,0
Atitlan,Atitlan_1000m_700_1622,23010,0
Atitlan,Atitlan_1000m_700_1623,23152,0
Atitlan,Atitlan_1000m_700_1624,23106,0
Atitlan,Atitlan_1000m_700_1625,23073,0
Atitlan,Atitlan_1000m_700_1626,22386,0
Atitlan,Atitlan_1000m_700_1627,23741,0
Atitlan,Atitlan_1000m_700_1628,10206,3
Atitlan,Atitlan_1000m_700_1629,7,0
Atitlan,Atitlan_1000m_700_1631,3,0
Atitlan,Atitlan_1000m_701_1617,9,0
Atitlan,Atitlan_1000m_701_1618,1,0
Atitlan,Atitlan_1000m_701_1619,224,0
Atitlan,Atitlan_1000m_701_1620,3553,1
Atitlan,Atitlan_1000m_701_1621,19445,0
Atitlan,Atitlan_1000m_701_1622,22978,0
Atitlan,Atitlan_1000m_701_1623,22852,0
Atitlan,Atitlan_1000m_701_1624,23707,0
Atitlan,Atitlan_1000m_701_1625,24292,0
Atitlan,Atitlan_1000m_701_1626,8966,0
Atitlan,Atitlan_1000m_701_1627,2942,1
Atitlan,Atitlan_1000m_702_1621,7366,2
Atitlan,Atitlan_1000m_702_1622,20332,0
Atitlan,Atitlan_1000m_702_1623,17647,0
Atitlan,Atitlan_1000m_702_1624,14578,5
Atitlan,Atitlan_1000m_702_1625,12338,1
Atitlan,Atitlan_1000m_702_1626,1,0
Atitlan,Atitlan_1000m_703_1614,59,0
Atitlan,Atitlan_1000m_703_1615,32,0
Atitlan,Atitlan_1000m_703_1616,68,0
Atitlan,Atitlan_1000m_703_1617,30,0
Atitlan,Atitlan_1000m_703_1624,64,0
Atitlan,Atitlan_1000m_704_1614,14,0
Atitlan,Atitlan_1000m_704_1617,4,0
Atitlan,Atitlan_1000m_704_1618,327,0
Atitlan,Atitlan_1000m_705_1614,67,0
Atitlan,Atitlan_1000m_705_1615,1,0
Atitlan,Atitlan_1000m_705_1616,1,0
Atitlan,Atitlan_1000m_705_1617,27,0
Atitlan,Atitlan_1000m_705_1618,680,0
Atitlan,Atitlan_1000m_705_1619,28,0
Atitlan,Atitlan_1000m_706_1614,111,0
Atitlan,Atitlan_1000m_706_1615,288,0
Atitlan,Atitlan_1000m_706_1619,643,0
Atitlan,Atitlan_1000m_706_1621,8,0
Atitlan,Atitlan_1000m_706_1622,5,0
Atitlan,Atitlan_1000m_706_1623,17,0
Atitlan,Atitlan_1000m_706_1624,5,0
Atitlan,Atitlan_1000m_707_1615,795,0
Atitlan,Atitlan_1000m_707_1616,42,0
Atitlan,Atitlan_1000m_707_1619,6,0
Atitlan,Atitlan_1000m_707_1624,1,0
Atitlan,Atitlan_1000m_707_1625,3,0
